Date,Station,Depth,Dilution,Fmax1,Fmax2,Fmax3,Fmax4,B,BIX,HIX,A/T,A/C,M/C
2019-04-29,50,0.1,1,0.412071478,0.408787026,0.100339685,0.139146931,0.170823468,0.599307899,4.24271384,3.507237716,1.996140913,0.79240828
2019-04-29,100,0.1,1,0.321256871,0.288681337,0.095804344,0.156801772,0.185359789,0.637593603,3.210889668,2.638726969,2.001004637,0.81712821
2019-04-29,200,0.1,1,0.652252678,0.563834449,0.409033165,0.12949759,0.045034564,0.551489469,5.048493527,4.989809604,2.011949198,0.714239973
2019-05-20,50,0.1,1,0.380854366,0.422255323,0.212690314,0.158447545,0.051462815,0.616941031,3.687472329,2.606914388,2.126973176,0.887574342
2019-05-20,50,5,1,0.397623166,0.459405013,0.110138404,0.218340199,0.063436522,0.630853183,3.238124716,2.577465536,2.041729375,0.859759906
2019-05-20,50,9,1,0.363599104,0.43781770800000003,0.153762475,0.203457178,0.05891049,0.677825223,2.775884567,2.286748356,2.05614213,0.877369019
2019-05-27,50,0.1,1,0.355620251,0.424565693,0.124432193,0.085983455,0.039218608,0.606625848,4.951573739,4.958323495,2.105247524,0.851571889
2019-05-27,50,5,1,0.400756918,0.482724304,0.131285327,0.086748946,0.035176047,0.624429485,5.797929381,5.389873783,1.965967526,0.776618162
2019-05-27,50,9,1.5,0.5551048599999999,0.6645630815,0.192737411,0.20486375099999998,0.087077496,0.6438182375,3.851499382,3.4687465609999997,2.0766365535,0.88594295
2019-05-30,50,0.1,1,0.410394876,0.505253198,0.076063188,0.29746765,0.134769118,0.628283755,2.268591513,1.620704097,2.144585051,0.990363988
2019-05-30,100,0.1,1,0.326720106,0.305441914,0.138416946,0.16154142,0.05639381,0.641638113,3.127668689,1.955915882,2.014363191,0.872016854
2019-05-30,200,0.1,1,0.878359447,0.803972602,0.129630797,0.284350373,0.0978568,0.534144862,3.900593353,2.443197955,1.975036539,0.708501435
2019-06-03,50,0.1,2,0.367760233,0.462805037,0.022433135,0.201792327,0.078911874,0.602834586,3.292267839,2.156835021,2.082334022,0.875240179
2019-06-03,50,5,1,0.416256559,0.475283365,0.177720806,0.247827941,0.077628555,0.674200847,2.799385495,1.94553117,2.026401869,0.846796031
2019-06-03,50,9,1,0.361833681,0.44027105,0.180357196,0.164909207,0.049814844,0.679795058,3.613107845,3.1358554,1.99763924,0.872245348
2019-06-03,100,0.1,1,0.383002424,0.296912714,0.175665821,0.090504915,0.032314463,0.61765759,4.172037446,3.996922392,1.999822033,0.780473456
2019-06-03,200,0.1,2,0.893799332,0.594243856,0.384051093,0.140581358,0.073475754,0.547513615,5.824907989,4.367155687,2.007654278,0.716779339
2019-06-06,50,0.1,1.5,0.4179970035,0.5379904525,0.04620772,0.271843463,0.100185283,0.649781394,2.6308941519999998,1.9352783274999998,2.1540171260000003,0.9309584945
2019-06-06,50,5,1,0.418155758,0.532769128,0.011545014,0.22045971,0.094502342,0.6491383,3.189595015,2.079176077,1.964757179,0.829038813
2019-06-06,50,9,2,0.371315083,0.483083864,0.134246766,0.181059559,0.083051381,0.702220864,2.839143854,2.291233591,2.001924458,0.878847617
2019-06-10,50,0.1,2,0.439785646,0.471393966,0,0.125560714,0.126221077,0.608367075,3.031030488,6.15049638,2.052668166,0.98028335
2019-06-10,50,5,2,0.496550402,0.525670995,0,0.084371015,0.076468502,0.603726321,5.446221741,22.0416537,1.939176895,0.821329527
2019-06-10,50,9,2,0.436954692,0.467070794,0,0.123470722,0.124776236,0.60696787,3.057719702,6.179796182,2.036936857,0.975357634
2019-06-13,50,0.1,1,0.496957538,0.548101975,0.101123097,0.226326634,0.076327581,0.624577397,3.430744615,2.480657828,2.130888411,0.854696168
2019-06-13,50,5,1,0.399235445,0.527620241,0.024554476,0.05316049,0.02686084,0.627947217,9.35611772,8.594777618,1.833680175,0.762029591
2019-06-13,50,9,1,0.386503504,0.463097803,0.136698439,0.13291203,0.034458947,0.671432572,4.801836667,3.480936413,1.924484896,0.817713703
2019-06-17,50,0.1,2,0.45698206,0.515101111,0.070774675,0.210084307,0.071730189,0.633905315,3.77892313,2.451699968,2.172806692,0.899134172
2019-06-17,50,5,1,0.203131466,0.289367122,0.118259126,0.070332771,0.026066094,0.677911584,3.843361632,3.336234119,1.973346681,0.859326978
2019-06-17,50,9,1,0.203049185,0.288226469,0.117408331,0.070097102,0.02597622,0.676352431,3.848783873,3.336090745,1.967688687,0.857938805
2019-06-17,100,0.1,1,0.34623686,0.31172642,0.09372322,0.106268145,0.025943163,0.639584257,4.687339566,3.615207341,1.927216727,0.778933287
2019-06-17,200,0.1,2,0.862756532,0.682849238,0.23699738,0.156239987,0.045836949,0.545747674,5.753420322,5.099673238,1.934734381,0.686058547
2019-06-20,50,5,1,0.521954707,0.488888373,0.337152038,0.238680734,0.077964892,0.702701312,2.859358399,2.758726741,2.094259408,0.862416906
2019-06-20,50,9,2,0.461438424,0.798908559,0.11528604,0.465029024,0.218579894,0.693538122,1.89090877,1.534865495,2.276913135,1.583684091
2019-06-24,50,0.1,2,0.460537063,0.517612248,0.073421452,0.211818522,0.072728055,0.633905315,3.763189658,2.446029998,2.181924708,0.902604395
2019-06-24,50,5,2,0.413167619,0.665906178,0.165657913,0.53243265,0.166528768,0.732583028,1.781989991,1.245851716,2.092804339,0.995490196
2019-06-24,50,9,2,0.408673389,0.581440464,0.239635052,0.140673207,0.052372818,0.678692508,3.842473526,3.333456006,1.974358325,0.858709758
2019-06-27,50,0.1,1.5,0.44108322850000004,0.5265295295,0.060850069500000006,0.284266923,0.105175364,0.6518597195,2.8700840110000003,1.8121729864999998,2.2171561420000003,0.9596516695
2019-06-27,50,5,1.5,0.484078013,0.662151792,0.08993949749999999,0.352269938,0.1583348235,0.6718024085000001,2.897033855,1.8882453635,2.0750407735,0.9628252575
2019-06-27,50,9,1.5,0.4431586515,0.6382579075,0.133779189,0.46322265399999996,0.2381510035,0.71343703,1.8108631654999998,1.2593725695,2.141267997,1.08035967
2019-06-27,100,0.1,1,0.389192562,0.300573086,0.157830048,0.08429716,0.025872211,0.612380737,5.295106467,4.028917223,1.946198163,0.736033098
2019-06-27,200,0.1,1,0.860470127,0.811276069,0.004032982,0.431492238,0.215034432,0.544460577,3.057663145,1.942393588,1.980872142,0.774511873
2019-07-01,50,5,1,0.435677504,0.522237633,0.187211403,0.219374548,0.195556489,0.689372856,3.63812192,2.695865731,1.929715335,0.842580153
2019-07-01,50,9,1,0.532398283,0.641947885,0.428422807,0.313963005,0.223856032,0.694208491,2.667634647,2.258866552,2.076571014,0.905869115
2019-07-03,50,0.1,2,0.42491209,0.580705948,0.126460715,0.189967626,0.097511594,0.643694886,3.455935861,3.663200975,2.15780962,0.921132081
2019-07-03,50,5,2,0.4260130025,0.6017282375,0.1230886315,0.2136650495,0.093678369,0.664596716,3.4954613255,3.137742204,2.0193499315,0.9046243045
2019-07-03,50,9,1,0.407933773,0.548140721,0.303772192,0.085396684,0.032863056,0.676096882,5.13927492,5.178752639,1.960220298,0.830461284
2019-07-08,50,0.1,2,0.534986668,0.589818297,0.098991827,0.38944859,0.364856199,0.637000443,2.685047227,1.784202895,2.206088481,0.930527925
2019-07-08,50,5,1,0.49592099,0.555500844,0.260149942,0.302602134,0.211443968,0.689272884,3.091058335,2.330951861,1.977670077,0.843878153
2019-07-08,50,9,1,0.44666925,0.551979766,0.507630492,0.286341844,0.20923773,0.720351014,2.7521575,2.600138359,2.078974821,0.916676516
2019-07-08,100,0.1,2,0.466755952,0.352454943,0.064295026,0.213192012,0.062257074,0.58132561,3.509467552,1.767884257,1.949286843,0.779397824
2019-07-08,200,0.1,2,0.860319278,0.725603298,0.145837234,0.134184689,0.043653929,0.522886143,6.54244655,5.279275868,1.94238315,0.698224546
2019-07-15,50,0.1,2,0.489844735,0.655663879,0.124629195,0.303575198,0.141819564,0.625283239,2.591135573,2.143868987,2.24632413,0.937193108
2019-07-15,50,5,2,0.4746498855,0.625657243,0.23997174100000002,0.25563293750000005,0.11128471100000001,0.6870426620000001,3.1054333940000003,2.4975991515000002,2.005410646,0.888494627
2019-07-15,50,9,1,0.392047428,0.545699816,0.233851772,0.107764239,0.034053842,0.703841921,5.359799907,4.756429845,1.9489867,0.84370015
2019-07-18,50,0.1,1,0.561178623,0.70964911,0.286224172,0.387115967,0.146428904,0.658281112,2.548631327,1.75475731,2.273532563,1.002904336
2019-07-18,100,0.1,1,0.490857799,0.384455361,0.038495214,0.097301975,0.019420817,0.534469153,7.202109908,5.202642298,1.858289595,0.735721507
2019-07-18,200,0.1,1,1.130275022,0.846619415,0.670135103,0.162041497,0.067376292,0.559010836,6.42378796,5.182447688,2.074773348,0.720504008
2019-07-22,50,0.1,2,0.568522833,0.862569827,0.134387891,0.613722317,0.231247688,0.67317259,2.002640671,1.254600058,2.382953559,1.448760285
2019-07-22,50,5,1,0.469648314,0.592215671,0.321212409,0.241189944,0.079778883,0.707175277,3.321345659,2.357399958,1.948776381,0.910152047
2019-07-22,50,9,2,0.66158668,0.750528921,0.845874358,0.305217279,0.125882216,0.681761283,2.569845394,2.053485342,2.134019785,0.969102992
2019-07-22,100,0.1,2,0.582387149,0.367232604,0.136698302,0.119775059,0.021205475,0.527681085,7.337928181,5.07415711,1.930008809,0.656512073
2019-07-22,200,0.1,2,1.18789405,1.014954474,0.467890822,0.189084552,0.078898355,0.551256821,5.661228508,4.552324023,1.962025395,0.706078423
2019-07-29,50,5,2,0.555819597,0.57121347,0.447707783,0.406826817,0.382880875,0.690563737,2.835930913,2.090071885,2.015240367,0.92009733
2019-07-29,50,9,1,1.42773283,1.535162033,2.947399712,0.663052311,1.012458939,0.677720056,2.112082933,2.09432524,2.347231105,0.975708649
2019-07-29,100,0.1,1,0.595306107,0.19768209,0.655721256,0.087708084,0.181000534,0.570857374,4.396735694,4.243016048,1.963918813,0.72902699
2019-07-29,200,0.1,1,0.950318416,0.674005943,0.633859714,0.191237198,0.197266805,0.556032262,4.892279831,4.929222033,1.981622172,0.700644793
2019-08-05,50,0.1,2,0.606241093,0.658445144,0.236400954,0.459417097,0.397197642,0.642019356,2.38160588,1.830903927,2.255236658,0.991177807
